snapshot_date,snapshot_at_utc,source,format_slug,format_name,source_url,pokemon_name,usage_rank,usage_pct,sample_teams,team_appearances,team_appearance_pct,wins,losses,draws,matches_played,win_rate,avg_team_rank,best_team_rank,unique_authors,unique_events,top_teammates,top_teammate_appearances,top_teammate_win_rates
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Sneasler,1,43.80,20,6,30.00,63,5,0,68,92.65,9.83,3,6,5,Kingambit:Garchomp:Froslass-Mega:Floette-Eternal:Basculegion,5:3:3:3:3,91.23:93.75:93.55:91.89:91.67
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Garchomp,2,40.40,20,9,45.00,85,13,0,98,86.73,10.78,4,9,8,Kingambit:Charizard-Mega-Y:Rotom-Wash:Sneasler:Basculegion,6:5:3:3:3,90.77:81.36:100.00:93.75:87.88
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Kingambit,3,38.21,20,9,45.00,90,10,0,100,90.00,12.67,4,9,8,Garchomp:Sneasler:Basculegion:Charizard-Mega-Y:Froslass-Mega,6:5:5:4:3,90.77:91.23:87.93:88.89:93.55
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Basculegion,4,38.16,20,9,45.00,91,7,0,98,92.86,10.11,1,9,9,Kingambit:Whimsicott:Charizard-Mega-Y:Archaludon:Incineroar,5:4:4:3:3,87.93:91.30:88.89:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Incineroar,5,35.84,20,8,40.00,77,9,0,86,89.53,8.75,1,8,8,Basculegion:Archaludon:Floette-Eternal:Garchomp:Pelipper,3:3:3:3:2,100.00:96.88:93.75:78.79:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Sinistcha,6,26.87,20,3,15.00,26,1,0,27,96.30,9.33,5,3,3,Archaludon:Incineroar:Sableye:Basculegion:Floette-Eternal,2:2:2:1:1,95.00:95.00:94.74:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Charizard-Mega-Y,8,17.86,20,6,30.00,59,12,0,71,83.10,11.67,6,6,6,Garchomp:Basculegion:Kingambit:Whimsicott:Floette-Eternal,5:4:4:4:2,81.36:88.89:88.89:87.50:88.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Pelipper,9,15.69,20,3,15.00,29,0,0,29,100.00,6.67,1,3,3,Archaludon:Basculegion:Incineroar:Dragonite-Mega:Floette-Eternal,3:3:2:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Aerodactyl,10,15.26,20,2,10.00,20,7,0,27,74.07,9.50,6,2,2,Garchomp:Floette-Eternal:Kingambit:Sneasler:Volcarona,2:1:1:1:1,74.07:85.71:85.71:85.71:85.71
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Archaludon,11,13.81,20,4,20.00,40,1,0,41,97.56,6.25,1,4,4,Basculegion:Pelipper:Incineroar:Sableye:Sinistcha,3:3:3:2:2,100.00:100.00:96.88:95.24:95.00
