snapshot_date,snapshot_at_utc,source,format_slug,format_name,source_url,core_rank,core_size,core_label,pokemon_names,usage_pct,team_count
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,2,Kingambit / Sneasler,Kingambit:Sneasler,19.4,2501
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,2,Garchomp / Sneasler,Garchomp:Sneasler,19.2,2483
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,2,Basculegion / Sneasler,Basculegion:Sneasler,18.0,2323
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,2,Basculegion / Kingambit,Basculegion:Kingambit,17.1,2204
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,2,Garchomp / Kingambit,Garchomp:Kingambit,17.1,2201
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,3,Basculegion / Kingambit / Sneasler,Basculegion:Kingambit:Sneasler,9.7,1245
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,3,Garchomp / Kingambit / Sneasler,Garchomp:Kingambit:Sneasler,9.2,1184
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,3,Basculegion / Garchomp / Kingambit,Basculegion:Garchomp:Kingambit,8.9,1148
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,3,Archaludon / Basculegion / Pelipper,Archaludon:Basculegion:Pelipper,7.8,1003
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,3,Charizard-Mega-Y / Garchomp / Kingambit,Charizard-Mega-Y:Garchomp:Kingambit,7.2,927
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,4,Basculegion / Charizard-Mega-Y / Garchomp / Kingambit,Basculegion:Charizard-Mega-Y:Garchomp:Kingambit,4.2,543
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,4,Basculegion / Garchomp / Kingambit / Sneasler,Basculegion:Garchomp:Kingambit:Sneasler,3.9,503
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,4,Archaludon / Basculegion / Pelipper / Sneasler,Archaludon:Basculegion:Pelipper:Sneasler,3.4,439
